	text	prediction
0	"Black Female Democrats Call for Changes in Party""  URL #TCOT #MAGA #RedNationRising"""	0
1	After making fun of myself (and @USER a little) for watching the @USER premier 3 times my husband plays it again #truelove	0
2	You know what I hate? Negros.	0
3	:(( I want him to rest 4ever :((( He is such a sleepy baby :((( URL	0
4	I wish I can blink my eyes and I'll magically be ready \ud83d\udc40\ud83d\udc83	0
5	What id do for a blunt on my lip rn	1
6	Nothing I ever do is good enough so why bother	0
7	"@USER @USER Overton window shifted a while ago. AP is leftist, wsj maybe centrist  And lol that CNN isn't hyper-partisan"" but fox is? Ok  Have you denounced your extremists, AntiFA, Keith Ellison, Linda Sarsour, Ocasio yet?  I've denounced ones on the right..."""	0
8	The Delta Delta mansion is the place to be tonight.	0
9	@USER yeah July 23rd!	0
10	@USER okay ill talk to my mom too but I think.that just might work so sounds good	0
11	Run up on me and you die\ud83d\udd2b\ud83d\udc82	0
12	@USER give her my number and tell her I miss her!	0
13	@USER polls pls	0
14	@USER Noice. 1-10? How good?	0
15	I've told him ever since I was like 13 that I would go to prom with me so STEP OFF SLUTS	1
16	@USER u should have kept watching the RGIII Presser. He addresses the coaches relationship and comments and his inconsistency.	0
17	Pre shower Richelle and post shower Richelle are two very different looking people	0
18	Let's help #autism find a voice I ran 1.002 @USER to help @USER #EveryMileMatters	0
19	@USER A woman in Hatteras told me last night I don't know what I'm talking about when I told her to get off the island. I hope she is alive afterward.	0
20	Virginia cookin hamburger help but ion trust her cook	0
21	I just want to go home and sleep but this won't be done til like 3	0
22	I can rap every word to High School \ud83d\ude0d\ud83d\ude0d	0
23	Jeremiah is good fr he share and let people play with his toys he's mature for a two year old .	0
24	@USER @USER @USER @USER LMAO! You are still butt hurt that your loser Hitlary lost. Love it. See you at the polls in 2020 Bucky.	1
25	50 shades of grey is going to be a movie... isn't that pretty much porn??	1
26	@USER haha definitely not	0
27	@USER come sign me out	0
28	Alexis Garcia abrete de esta monda perro hpta	0
29	It's cold outside.. Fuckkkkkkk	1
30	"@USER i bet he is sayin wat his daddy says most... Don't start me baby""😂😂😂"""	0
31	Sean is such a great guy.. Seriously.	0
